Afghanistan,阿富汗,a1 fu4 han4
Netherlands,荷兰,he2 lan2
New Caledonia,新喀里多尼亚,xin1 ka1 li3 duo1 ni2 ya4
New Zealand,新西兰,xin1 xi1 lan2
Nicaragua,尼加拉瓜,ni2 jia1 la1 gua1
Niger,尼日尔,ni2 ri4 er3
Nigeria,尼日利亚,ni2 ri4 li4 ya4
Norway,挪威,nuo2 wei1
Oman,阿曼,a1 man4
Pakistan,巴基斯坦,ba1 ji1 si1 tan3
Palau,帕劳,pa4 lao2
Palestinian National Authority,巴勒斯坦,ba1 le4 si1 tan3
Panama,巴拿马,ba1 na2 ma3
Papua New Guinea,巴布亚新几内亚,ba1 bu4 ya4 xin1 ji3 nei4 ya4
Paraguay,巴拉圭,ba1 la1 gui1
Peru,秘鲁,bi4 lu3
Philippines,菲律宾,fei1 lu:4 bin1
Poland,波兰,bo1 lan2
Portugal,葡萄牙,pu2 tao2 ya2
Puerto Rico,波多黎各,bo1 duo1 li2 ge4
Qatar,卡塔尔,qia3 ta3 er3
Romania,罗马尼亚,luo2 ma3 ni2 ya4
Russia,俄罗斯,e2 luo2 si1
Rwanda,卢旺达,lu2 wang4 da2
Saint Kitts and Nevis,圣基茨和尼维斯,sheng4 ji1 ci2 he2 ni2 wei2 si1
Saint Lucia,圣卢西亚,sheng4 lu2 xi1 ya4
Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,sheng4 wen2 sen1 te4 he2 ge2 lin2 na4 ding1 si1
Samoa,萨摩亚,sa4 mo2 ya4
San Marino,圣马力诺,sheng4 ma3 li4 nuo4
São Tomé and Príncipe,圣多美普林西比,sheng4 duo1 mei3 pu3 lin2 xi1 bi3
Saudi Arabia,沙特阿拉伯,sha1 te4 a1 la1 bo2
Senegal,塞内加尔,se4 nei4 jia1 er3
Serbia,塞尔维亚,sai1 er3 wei2 ya4
Seychelles,塞舌尔,sai1 she2 er3
Sierra Leone,塞拉利昂,sai1 la1 li4 ang2
Singapore,新加坡,xin1 jia1 po1
Slovakia,斯洛伐克,si1 luo4 fa2 ke4
Slovenia,斯洛文尼亚,si1 luo4 wen2 ni2 ya4
Somalia,索马里,suo3 ma3 li3
South Africa,南非,nan2 fei1
Spain,西班牙,xi1 ban1 ya2
Sri Lanka,斯里兰卡,si1 li3 lan2 ka3
Sudan,苏丹,su1 dan1
Suriname,苏里南,su1 li3 nan2
Swaziland,史瓦济兰,shi3 wa3 ji4 lan2
Sweden,瑞典,rui4 dian3
Switzerland,瑞士,rui4 shi4
Syria,叙利亚,xu4 li4 ya4
Taiwan,台湾,tai2 wan1
Tajikistan,塔吉克斯坦,ta3 ji2 ke4 si1 tan3
Tanzania,坦桑尼亚,tan3 sang1 ni2 ya4
Thailand,泰国,tai4 guo2
Timor-Leste,东帝汶,dong1 di4 wen4
Togo,多哥,duo1 ge1
Trinidad and Tobago,特立尼达和多巴哥,te4 li4 ni2 da2 he2 duo1 ba1 ge1
Tunisia,突尼斯,tu1 ni2 si1
Turkey,土耳其,tu3 er3 qi2
Turkmenistan,土库曼,tu3 ku4 man4
Tuvalu,吐瓦鲁,tu3 wa3 lu3
Uganda,乌干达,wu1 gan1 da2
Ukraine,乌克兰,wu1 ke4 lan2
United Arab Emirates,阿拉伯联合酋长国,A1 la1 bo2 lian2 he2 qiu2 chang2 guo2
United Kingdom,英国,ying1 guo2
United States,美国,mei3 guo2
Uruguay,乌拉圭,wu1 la1 gui1
Uzbekistan,乌兹别克斯坦,wu1 zi1 bie2 ke4 si1 tan3
Vanuatu,瓦努阿图,wa3 nu3 a1 tu2
Vatican City State,梵帝冈,fan4 di4 gang1
Venezuela,委内瑞拉,wei3 nei4 rui4 la1
Vietnam,越南,yue4 nan2
Yemen,也门,ye3 men2
Zambia,赞比亚,zan4 bi3 ya4
Zimbabwe,津巴布韦,jin1 ba1 bu4 wei2
